cve_estado,municipio
oax,"San Mateo Sindihui"
oax,"Juchitán de Zaragoza"
oax,"Ciudad Ixtepec"
oax,"El Espinal"
oax,"Santo Domingo Ingenio"
oax,"Santa María Xadani"
oax,"Santiago Niltepec"
oax,"San Dionisio del Mar"
oax,"Asunción Ixtaltepec"
oax,"San Francisco del Mar"
oax,"Unión Hidalgo"
oax,"San Miguel Chimalapa"
oax,"Santo Domingo Zanatepec"
oax,"Reforma de Pineda"
oax,"San Francisco Ixhuatán"
oax,"San Pedro Tapanatepec"
oax,Chahuites
oax,"Santiago Zacatepec"
oax,"Santo Domingo Tepuxtepec"
oax,"San Juan Cotzocón"
oax,"San Juan Mazatlán"
oax,"Totontepec Villa de Morelos"
oax,"Mixistlán de la Reforma"
oax,"Santa María Tlahuitoltepec"
oax,"Santa María Alotepec"
oax,"Santiago Atitlán"
oax,"Tamazulápam del Espíritu Santo"
oax,"San Pedro y San Pablo Ayutla"
oax,"Santa María Tepantlali"
oax,"San Miguel Quetzaltepec"
oax,"Asunción Cacalotepec"
oax,"San Pedro Ocotepec"
oax,"San Lucas Camotlán"
oax,"Santiago Ixcuintepec"
oax,"Matías Romero Avendaño"
oax,"San Juan Guichicovi"
oax,"Santo Domingo Petapa"
oax,"Santa María Chimalapa"
oax,"Santa María Petapa"
oax,"El Barrio de la Soledad"
oax,"Tlacolula de Matamoros"
oax,"San Sebastián Abasolo"
oax,"Villa Díaz Ordaz"
oax,"Santa María Guelacé"
oax,"Teotitlán del Valle"
oax,"San Francisco Lachigoló"
oax,"San Sebastián Teitipac"
oax,"Santa Ana del Valle"
oax,"San Pablo Villa de Mitla"
oax,"Santiago Matatlán"
oax,"Santo Domingo Albarradas"
oax,"Rojas de Cuauhtémoc"
oax,"San Juan Teitipac"
oax,"Santa Cruz Papalutla"
oax,"Magdalena Teitipac"
oax,"San Jerónimo Tlacochahuaya"
oax,"San Juan Guelavía"
oax,"San Lucas Quiaviní"
oax,"San Juan del Río"
oax,"San Bartolomé Quialana"
oax,"San Lorenzo Albarradas"
oax,"San Pedro Totolápam"
oax,"San Pedro Quiatoni"
oax,"Santa María Zoquitlán"
oax,"San Dionisio Ocotepec"
oax,"San Carlos Yautepec"
oax,"San Juan Juquila Mixes"
oax,"Nejapa de Madero"
oax,"Santa Ana Tavela"
oax,"San Juan Lajarcia"
oax,"San Bartolo Yautepec"
oax,"Santa María Ecatepec"
oax,"Asunción Tlacolulita"
oax,"San Pedro Mártir Quiechapa"
